"Date","Aluminum","Arsenic","Bromine","Calcium","Chlorine","Chromium","Copper","Elemental Carbon","Elemental carbon I","Elemental carbon II","Elemental carbon III","Iron","Lead","Magnesium","Manganese","Nickel","Nitrate","Nitrite","Organic carbon","Organic carbon I","Organic carbon II","Organic carbon III","Organic carbon IV","Phosphorus","Potassium","Pyrolyzed organic carbon","Rubidium","Selenium","Silicon","Sodium","Strontium","Sulfate","Sulfur","Titanium","Vanadium","Zinc","Zirconium","PM25"
"02/23/2019",0.00162,0.00024,0.00174,0.02655,0.37611,2e-04,0.00164,0.2669,0.23133,0.03557,0,0.023,0.0015,0.0277,0.00054,0.00021,0.602,0.00196,0.83883,0.05749,0.18788,0.2869,0.30656,0.00261,0.02891,0,0.00019,1e-04,0.01001,0.37475,0.00074,0.39168,0.12437,0.00148,3e-05,0.00232,NA,3.54859
"02/26/2019",0.01169,0,0.00089,0.0143,0.00399,0.00012,0.00558,0.22509,0.32692,0.03245,0,0.03164,0.00031,0.00823,0.00067,2e-05,0.19521,0.00443,0.78138,0.04199,0.14788,0.25172,0.20551,1e-05,0.02309,0.13428,7e-05,1e-04,0.03407,0.0898,0.00027,0.55485,0.1984,0.00193,0.00017,0.00283,0.00185,2.75068
"03/01/2019",0.0239,0.00043,0.00217,0.02659,0.00453,0.00048,0.00378,0.52688,0.48107,0.04722,0,0.07099,0.00037,0.01095,0.00145,0.00025,0.85412,0.00901,1.49347,0.13518,0.34509,0.6298,0.38199,0.00289,0.03339,0.00141,NA,4e-05,0.06266,0.10144,0.00045,0.34246,0.12744,0.0037,0.00023,0.00578,0.00269,4.80875
"03/04/2019",0.01759,0,0.00138,0.01684,0.00126,0.00023,0.00473,0.1625,0.21362,0.03888,0,0.03317,0.00061,0.00577,7e-04,0.00019,0.15665,0.00388,0.48824,0.03092,0.09444,0.15269,0.12019,0.00181,0.01582,0.09,1e-05,5e-05,0.04814,0.04741,4e-04,0.29308,0.11084,0.00198,6e-05,0.00227,0.001,1.92976
"03/07/2019",0.01298,0,0.00123,0.01801,0.00342,3e-04,0.00209,0.46293,0.45865,0.04155,0,0.0488,0.00232,0.01097,0.0013,3e-04,0.8605,0.00699,0.98729,0.08008,0.20059,0.39265,0.2767,0.00159,0.02842,0.03727,5e-05,0.00017,0.02826,0.07106,0.00029,0.37695,0.14584,0.00263,1e-04,0.00548,0.001,3.65196
"03/10/2019",0.02215,0,0.00166,0.01558,0.00807,0.00014,0.01059,0.64704,0.80188,0.06097,0,0.04897,0.00206,0.00651,0.00085,0.00117,1.37615,0.01161,2.0391,0.20088,0.46827,0.73378,0.42036,0.00037,0.04448,0.21581,NA,NA,0.03858,0.02276,NA,0.35364,0.14058,0.00313,0.00137,0.00607,0.00033,5.95628
"03/13/2019",0.01188,0,0.00145,0.03142,0.03044,0.00042,0.00338,0.58647,0.5511,0.03537,0,0.06875,0.00122,0.04356,0.00219,0.00086,0.91667,0.00502,1.13785,0.11003,0.32439,0.41814,0.28529,0.00062,0.03715,0,NA,0.00014,0.03039,0.23545,0.00043,0.45565,0.17727,0.00361,0.00013,0.00816,0.00082,4.36279
"03/16/2019",0.03559,0.00168,0.00282,0.0244,0.00728,0.00055,0.00521,0.94409,0.93119,0.03527,0,0.0784,0.00221,0.01391,0.00175,5e-04,1.81033,0.01364,2.63317,0.17361,0.69618,1.03238,0.70863,0.00128,0.05469,0.02237,NA,0.00028,0.06418,0.0575,4e-04,0.46124,0.18828,0.00501,0.00019,0.01019,0.00234,7.77753
"03/19/2019",0.03845,0,0.00091,0.03571,0.00166,0.00099,0.00326,0.41889,0.37516,0.11182,0,0.08332,0.00073,0.01554,0.00223,0.00087,0.13686,0.00295,0.75544,0.04744,0.2192,0.25467,0.16604,1e-04,0.02176,0.06809,NA,NA,0.10226,0.01441,0.00039,0.36927,0.14226,0.00514,2e-05,0.00497,0.00104,2.85882
"03/22/2019",0.0328,9e-05,0.00149,0.05659,0.02614,0.00128,0.01366,0.59435,0.56048,0.03387,0,0.12989,0.00262,0.03407,0.01032,0.00102,0.78019,0.00444,1.28715,0.09653,0.38435,0.46034,0.34593,0.00189,0.04403,0,0.00012,NA,0.09387,0.22495,0.00051,0.46373,0.17194,0.00521,0,0.01002,0.00044,4.88298
"03/25/2019",0.04486,0.00026,0.00149,0.04552,0.00476,0.00106,0.0031,0.58439,0.70642,0.06866,0,0.08419,0.00081,0.02168,0.00393,0.00109,0.40047,0.00497,1.25605,0.11611,0.32406,0.41515,0.21004,0.00074,0.04137,0.19069,NA,2e-04,0.10618,0.08672,0.00049,0.59729,0.21997,0.00474,0.00034,0.00647,0.00203,4.70668
"03/28/2019",0.02484,0.00012,0.00093,0.02722,0.00326,0.00127,0.00733,0.5589,0.48153,0.07737,0,0.07942,0.00062,0.01591,0.00252,0.00108,0.41557,0.00551,0.92408,0.10702,0.28754,0.37084,0.15868,1e-05,0.0226,0,1e-05,NA,0.06576,0.06107,0.00041,0.27544,0.10053,0.00384,0.00066,0.00771,0.00053,3.00971
"03/31/2019",0.02696,0.00137,0.00313,0.01808,0.00494,0.00018,0.00327,0.6492,0.79537,0.03562,0,0.05157,0.00162,0.01226,0.00062,0.00038,1.05424,0.01014,2.66872,0.30806,0.68217,0.84363,0.65307,0.00082,0.06624,0.18179,0.00018,1e-04,0.05581,0.1127,0.00028,0.60435,0.23672,0.00358,5e-04,0.00775,NA,7.34193
"04/03/2019",0.02476,9e-05,0.00213,0.02952,0.00799,0.00039,0.00798,0.37663,0.41396,0.01348,0,0.04914,0.00101,0.0436,0.00094,0.00016,0.431,0.00547,1.09594,0.09122,0.24292,0.44913,0.26186,0.00079,0.03049,0.05081,7e-05,5e-05,0.06504,0.1735,0.00059,0.49185,0.18396,0.00293,0.00017,0.00455,NA,3.93396
"04/06/2019",NA,0,0.00174,0.03643,1.02823,0.00021,0.00093,0.17368,0.1753,0.02777,0,0.01412,8e-04,0.0992,4e-04,5e-05,0.24935,0,0.62686,0.06155,0.13574,0.20364,0.19654,2e-05,0.03652,0.02939,0.00017,4e-05,0.00877,0.6941,6e-04,0.39346,0.12747,0.00089,0.00017,0.00198,0.00069,4.38024
"04/09/2019",0.00395,4e-05,0.00079,0.02033,0.16129,4e-04,0.00584,0.16552,0.20187,0.00224,0,0.03053,9e-04,0.03806,0.00229,0.00026,0.4052,0,0.5806,0.0075,0.15794,0.21529,0.16128,1e-05,0.02072,0.03859,1e-05,NA,0.01631,0.27014,0.00052,0.27166,0.10154,0.0016,1e-04,0.00497,0.00095,2.27813
"04/12/2019",0.01251,9e-05,0.00056,0.02297,0.00113,0.00028,0.00267,0.36668,0.39407,0.07522,0,0.04548,0.00077,0.00314,0.0013,0.00023,1.03384,0.00681,0.8828,0.06199,0.2569,0.31658,0.14472,1e-05,0.01476,0.10261,2e-05,0.00021,0.01672,0.03316,0.00033,0.37471,0.14628,0.0023,0.00016,0.00553,NA,2.64375
"04/15/2019",0.00829,1e-04,0.00114,0.02196,0.00235,3e-04,0.00746,0.27112,0.28012,0.03903,0,0.03665,0.00063,0.01248,0.00103,0.00039,0.34004,0.00377,0.74434,0.08441,0.18205,0.225,0.20485,1e-05,0.01664,0.04803,NA,NA,0.03545,0.09602,0.00032,0.26785,0.09922,0.00174,1e-05,0.00362,0.00213,2.27515
"04/18/2019",0.01687,0.00025,0.00089,0.01935,0.00193,0.00047,0.00266,0.32276,0.37678,0.05785,0,0.07058,0.00206,NA,0.00106,0.00026,0.14261,0.00554,0.97185,0.12269,0.23689,0.35419,0.14621,5e-04,0.02208,0.11187,0.00012,0.00014,0.03663,0.03171,0.00032,0.20201,0.08251,0.00257,6e-05,0.00892,0.00029,2.65603
"04/21/2019",0.02462,0.00063,0.00326,0.03789,0.12989,0.00018,0.00812,0.34523,0.46338,0.02514,0,0.03275,0.00159,0.04321,0.001,0.00017,0.62858,0.00371,1.40985,0.07275,0.31782,0.46418,0.41181,0.00152,0.05836,0.14329,5e-05,0.00025,0.03692,0.4561,0.00072,0.85815,0.31997,0.0018,3e-05,0.00619,0.00032,5.36553
"04/24/2019",0.0298,0,0.00292,0.03428,0.22185,0.00036,0.00195,0.17394,0.26445,0.00965,0,0.03849,0.00146,0.05564,0.00169,0.00048,0.80577,0,0.84131,0.07311,0.17412,0.27059,0.22333,0.00044,0.04354,0.10016,9e-05,2e-04,0.04563,0.59303,0.00076,0.90246,0.3109,0.00253,8e-05,0.00332,0.00105,5.27516
"04/27/2019",0.0306,0,0.00169,0.02168,0.39992,0.00014,0.00458,0.11769,0.18077,NA,0,0.01952,0.00089,0.03837,0.00035,0.00014,0.26112,0,0.62355,0.05433,0.11338,0.19912,0.19428,0,0.03208,0.06244,NA,5e-05,0.02,0.41456,0.00027,0.41767,0.13583,0.00145,0,0.0022,0.00044,2.85394
"04/30/2019",0.03834,0,0.00169,0.02404,0.00347,0.00046,0.00249,0.34682,0.53537,0.05808,0,0.05912,0.00036,NA,0.00151,5e-04,0.12186,0.00656,1.07179,0.11468,0.2355,0.3326,0.14238,0.00156,0.03476,0.24663,0.00012,NA,0.0883,0.00809,0.00044,0.56174,0.20469,0.00674,1e-04,0.00333,0.00126,3.62913
"05/03/2019",0.02633,0,0.00339,0.04335,0.00487,0.00063,0.00695,0.39747,0.41905,0.03773,0,0.08385,0.00162,0.02968,0.00285,6e-04,0.90628,0.00429,1.09296,0.06694,0.27154,0.41572,0.27945,0.00108,0.03538,0.05931,0.00034,0.00034,0.06233,0.3028,0.00038,0.66392,0.25243,0.00348,0.00041,0.00712,0.00021,4.37907
"05/06/2019",0.04027,0,0.00275,0.04152,0.00643,0.0022,0.00337,0.54302,0.55058,0.04041,0,0.08634,0.00084,0.03307,0.00258,0.00218,0.75345,0.00919,1.62399,0.19694,0.40769,0.61121,0.36018,0,0.03516,0.04797,1e-05,0.00014,0.08968,0.24473,0.00024,0.56306,0.21863,0.0049,0.00116,0.0055,0.00127,5.54621
"05/09/2019",0.05503,6e-05,0.00244,0.04853,0.0033,0.00061,0.0034,0.41843,0.42708,0.07982,0,0.07949,0.00055,0.041,0.00203,0.00072,0.48006,0.00568,1.45385,0.20202,0.35959,0.55046,0.25331,2e-05,0.03165,0.08847,2e-05,0.00014,0.13555,0.16539,0.00057,0.53994,0.21669,0.00558,0.00045,0.00337,0.0011,4.54464
"05/12/2019",0.01722,2e-05,0.00182,0.0451,0.32906,2e-04,0.00083,0.16426,0.18218,0.01248,0,0.02467,0.00116,0.06715,0.00023,0.00043,0.59572,0.00281,0.86348,0.08699,0.19857,0.3153,0.23222,3e-05,0.03869,0.0304,NA,0.00139,0.08039,0.5593,0.00052,0.67785,0.25523,0.00196,0.00053,0.00366,0.00145,4.55252
"05/15/2019",0.01693,0,0.00102,0.02872,0.00351,0.00124,0.00708,0.60173,0.5311,0.07063,0,0.06818,0.00039,0.01569,0.00215,0.00101,0.45332,0.00441,1.44844,0.13979,0.42868,0.52186,0.35811,2e-05,0.02936,0,NA,0.00015,0.04837,0.09066,0.00081,0.37001,0.14336,0.00392,0.00017,0.00632,0.00166,3.66166
"05/18/2019",0.011,0,0.00193,0.02302,0.00478,3e-04,0.00247,0.39076,0.48996,0.02334,0,0.04421,0.00093,0.02071,8e-04,0.00098,0.33866,0.00379,1.14551,0.0648,0.254,0.41553,0.28864,2e-05,0.03074,0.12254,0.00019,NA,0.02637,0.18059,0.00043,0.36325,0.14594,0.00176,0.00192,0.00351,0.00087,3.11251
