profile_code,assigned_profile
20404C,Industrial
2040510,Industrial
204052.5,Industrial
2040530,Industrial
20405C,Industrial
2040610,Industrial Dust
204062.5,Industrial Dust
2040630,Industrial Dust
20406C,Industrial Dust
2050110,Industrial
205012.5,Industrial
2050130,Industrial
20501C,Industrial
2050210,Industrial
205022.5,Industrial
2050230,Industrial
20502C,Industrial
2050310,Industrial
205032.5,Industrial
2050330,Industrial
20503C,Industrial
2110110,Cement Manufacturing
211012.5,Cement Manufacturing
2110130,Cement Manufacturing
21101C,Cement Manufacturing
2110210,Industrial
211022.5,Industrial
2110230,Industrial
21102C,Industrial
2110310,Industrial
211032.5,Industrial
2110330,Industrial
21103C,Industrial
2115010,Industrial
211502.5,Industrial
2115030,Industrial
21150C,Industrial
2120310,Industrial Dust
212032.5,Industrial Dust
2120330,Industrial Dust
21203C,Industrial Dust
2120410,Industrial Dust
212042.5,Industrial Dust
2120430,Industrial Dust
21204C,Industrial Dust
2120510,Industrial Dust
212052.5,Industrial Dust
2120530,Industrial Dust
21205C,Industrial Dust
2120610,Industrial Dust
212062.5,Industrial Dust
2120630,Industrial Dust
21206C,Industrial Dust
2130110,Industrial Dust
213012.5,Industrial Dust
2130130,Industrial Dust
21301C,Industrial Dust
2130210,Industrial Dust
213022.5,Industrial Dust
2130230,Industrial Dust
21302C,Industrial Dust
2130310,Industrial Dust
213032.5,Industrial Dust
2130330,Industrial Dust
21303C,Industrial Dust
2130410,Industrial Dust
213042.5,Industrial Dust
2130430,Industrial Dust
21304C,Industrial Dust
2132010,Industrial Dust
213202.5,Industrial Dust
2132030,Industrial Dust
21320C,Industrial Dust
2134010,Industrial Dust
213402.5,Industrial Dust
2134030,Industrial Dust
21340C,Industrial Dust
2140110,Industrial Dust
214012.5,Industrial Dust
2140130,Industrial Dust
21401C,Industrial Dust
2150110,Industrial
215012.5,Industrial
2150130,Industrial
21501C,Industrial
2210110,Industrial Dust
221012.5,Industrial Dust
2210130,Industrial Dust
22101C,Industrial Dust
2210210,Industrial Dust
221022.5,Industrial Dust
2210230,Industrial Dust
22102C,Industrial Dust
2210310,Industrial Dust
221032.5,Industrial Dust
2210330,Industrial Dust
22103C,Industrial Dust
2220110,Industrial Dust
222012.5,Industrial Dust
2220130,Industrial Dust
